timestamp;x;y;z,
8,41222E+12;-0.20111294;0.60812724;9.643.845
8,41223E+12;-0.19153613;0.60812724;9.619.903
8,41224E+12;-0.24899697;0.58418524;9.643.845
8,41225E+12;-0.21068975;0.641646;9.576.807
8,41226E+12;-0.21068975;0.62728083;9.576.807
8,41227E+12;-0.19632454;0.60333884;9.600.749
8,41228E+12;-0.21068975;0.62249243;9.629.479
8,41229E+12;-0.22026655;0.60333884;9.653.421
8,4123E+12;-0.23942018;0.641646;9.600.749
8,41231E+12;-0.2681506;0.62728083;9.610.326
8,41232E+12;-0.24420857;0.61291564;9.615.114
8,41233E+12;-0.24899697;0.6368576;9.624.691
8,41234E+12;-0.2681506;0.6751649;9.653.421
8,41235E+12;-0.23942018;0.61770403;9.696.517
8,41236E+12;-0.2633622;0.56982;9.581.595
8,41237E+12;-0.23942018;0.58418524;9.634.268
8,41238E+12;-0.2633622;0.59376204;9.624.691
8,41239E+12;-0.19153613;0.61770403;9.615.114
8,4124E+12;-0.22984336;0.60812724;9.548.077
8,41241E+12;-0.22026655;0.641646;9.610.326
8,41242E+12;-0.20590134;0.59376204;9.586.384
8,41243E+12;-0.24899697;0.5793968;9.595.961
8,41244E+12;-0.23463176;0.62728083;9.629.479
8,41245E+12;-0.21068975;0.58897364;9.662.998
8,41246E+12;-0.22026655;0.61770403;9.605.537
8,41247E+12;-0.23942018;0.62249243;9.572.019
8,41248E+12;-0.21068975;0.58897364;9.610.326
8,41249E+12;-0.22026655;0.60333884;9.615.114
8,4125E+12;-0.2633622;0.60333884;9.624.691
8,41251E+12;-0.24420857;0.61291564;9.595.961
8,41252E+12;-0.18674773;0.61291564;9.605.537
8,41253E+12;-0.21068975;0.5554548;9.619.903
8,41254E+12;-0.20590134;0.61770403;9.610.326
8,41255E+12;-0.22026655;0.61770403;965.821
8,41256E+12;-0.18674773;0.59855044;9.519.346
8,41257E+12;-0.21547815;0.60333884;9.619.903
8,41258E+12;-0.2633622;0.63206923;9.600.749
8,41259E+12;-0.23942018;0.62728083;9.576.807
8,4126E+12;-0.24899697;0.61770403;9.591.172
8,41261E+12;-0.22505496;0.58418524;965.821
8,41262E+12;-0.23463176;0.61291564;9.572.019
8,41263E+12;-0.24899697;0.5793968;9.643.845
8,41264E+12;-0.2681506;0.61770403;9.562.442
8,41265E+12;-0.23463176;0.62249243;9.543.288
8,41266E+12;-0.2681506;0.58897364;9.586.384
8,41267E+12;-0.21068975;0.61770403;9.581.595
8,41268E+12;-0.22505496;0.60812724;9.615.114
8,41269E+12;-0.21068975;0.62728083;9.624.691
8,4127E+12;-0.20590134;0.58897364;9.572.019
8,41271E+12;-0.2633622;0.60333884;9.653.421
8,41272E+12;-0.2681506;0.63206923;9.572.019
8,41273E+12;-0.23942018;0.641646;9.624.691
8,41274E+12;-0.22026655;0.62249243;9.605.537
8,41275E+12;-0.2825158;0.63206923;9.595.961
8,41276E+12;-0.23463176;0.61291564;9.605.537
8,41277E+12;-0.2681506;0.641646;9.572.019
8,41278E+12;-0.23942018;0.5602432;9.591.172
8,41279E+12;-0.22505496;0.62249243;9.643.845
8,4128E+12;-0.23463176;0.59376204;9.586.384
8,41281E+12;-0.24899697;0.62728083;9.610.326
8,41282E+12;-0.25857377;0.62249243;9.591.172
8,41283E+12;-0.23463176;0.62728083;9.591.172
8,41284E+12;-0.25857377;0.59855044;9.615.114
8,41285E+12;-0.25857377;0.5746084;9.634.268
8,41286E+12;-0.22026655;0.5746084;9.572.019
